date,time,name,flyer,url,host,city,region,source,labels
2026-06-19,17:00,Die größte outdoor Salsa Bachata Party im BadibarZug Dj Giovanni freier Eintritt,https://www.latino.ch/images/m/df/df5468fca82acf25be8855a146481517d70c6d33be4193e85d24668eae2fb01a.jpg,https://www.latino.ch/events/die-groesste-outdoor-salsa-bachata-party-im-badibarzug-dj-giovanni-freier-eintritt-2026-06-19-badibar-zug,Badibar,Zug,Zentral Schweiz,latino.ch,
2026-06-19,18:00,::: NEU ::: Salsa Rooftop (Nähe Zürich),https://www.latino.ch/images/m/ca/ca5578df0c50a3641ba8f4751ddb6ef3e7f55e90dd0c43bd62c7e050f5046a3a.jpg,https://www.latino.ch/events/neu-salsa-rooftop-naehe-zuerich-2026-06-19-silo-rooftop-bar-8310-kemptthal,SILO Rooftop Bar,8310 Kemptthal,Ost Schweiz,latino.ch,openair|party
2026-06-19,18:00,Arena Salsa Open Air Party,https://www.latino.ch/images/m/7a/7afe3d20dcadbf5eff6f4e6106a0ddbef8c2761e730b91995e15e20fc074d2ff.jpg,https://www.latino.ch/events/arena-salsa-open-air-party-2026-06-19-tc-cis-solothurn-4503-solothurn,TC CIS SOLOTHURN,4503 Solothurn,Region Solothurn & Aarau,latino.ch,openair|party
2026-06-19,18:00,Bachata Footwork & Musicality,https://www.latino.ch/images/m/49/497bd347dfba3c376429dabab8543bf25410c8c4542f789ba2a8ca268b0a1c1e.jpg,https://www.latino.ch/venues/69de71f2f17311001fc2dde5/events/2026-06-19,DanceSquare22,8048 Zürich,Region Zürich,latino.ch,
2026-06-19,18:00,Freitags in Zürich Kubanische Tanzkurse mit Mijail Galano ( Son - Rumba - Timba - Casino),https://www.latino.ch/images/m/1c/1c88b956f22ca8aa61f833153c7b3794f576f1f1f53242aba0135ae61cd8641e.jpg,https://www.latino.ch/events/freitags-in-zurich-kubanische-tanzkurse-mit-mijail-galano-son-rumba-timba-casino-2026-06-19-studio-onespace-8001-zurich,Studio OneSpace,8001 Zürich,Region Zürich,latino.ch,
2026-06-19,18:00,KIT (Koordination - Isolation - Technik) Solokurs,https://www.latino.ch/images/m/c7/c7d31d26c9248361e44cfd3a9bef5f23889a6c97dc924fb7ba35e54133eeb351.jpg,https://www.latino.ch/events/kit-koordination-isolation-technik-solokurs-2026-06-19-salsarica-the-dance-factory-8005-zuerich,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,kurs
2026-06-19,18:00,"Starter (von Null, ohne Erfahrung)",https://www.latino.ch/images/m/49/497bd347dfba3c376429dabab8543bf25410c8c4542f789ba2a8ca268b0a1c1e.jpg,https://www.latino.ch/venues/69de71f2f17311001fc2dde5/events/2026-06-19,DanceSquare22,8048 Zürich,Region Zürich,latino.ch,
2026-06-19,18:50,Bachata Beginner 2,https://www.latino.ch/images/m/49/497bd347dfba3c376429dabab8543bf25410c8c4542f789ba2a8ca268b0a1c1e.jpg,https://www.latino.ch/venues/69de71f2f17311001fc2dde5/events/2026-06-19,DanceSquare22,8048 Zürich,Region Zürich,latino.ch,
2026-06-19,18:50,Vive Bailando - Salsa & Bachata,https://www.latino.ch/images/m/41/41b3314822c175b4430b7166abdc3ded9b005bb2f0356bbc705d8c82c61690d5.jpg,https://www.latino.ch/events/vive-bailando-salsa-und-bachata-2026-06-19-united-dance-studio-8048-zuerich,United Dance Studio,8048 Zürich,Region Zürich,latino.ch,kurs
2026-06-19,19:00,All you can Dance Party in St. Gallen!!,https://www.latino.ch/images/m/50/509f63aa23e5070d294438f34aabed57d8f12d9f6d1144e4767fa18c83b37287.jpg,https://www.latino.ch/venues/64f5c5088d4cb80001995825/events/2026-06-19,Pivot,9016 St. Gallen,Ost Schweiz,latino.ch,
