date,time,name,flyer,url,host,city,region,source,style,labels
2025-12-31,19:00,Silvester Party mit Neujahrsbuffet in St.Gallen!!!,https://www2.salsa.ch/images/m/3a/3a6f499611d23c18704d14eff3282286d8b012e682c838eb4f5a9a4da4f152d7.jpg,https://www.latino.ch/events/silvester-party-mit-neujahrsbuffet-in-st-punkt-gallen-2025-12-31-pivot-9016-st-gallen,Pivot,9016 St. Gallen,Ost Schweiz,latino.ch,B|K|S,party
2025-12-31,19:30,Silverster Party im Breitsch,https://www2.salsa.ch/images/m/9c/9c508763a4cc69a92940bf2c94b31ce59d1e935207979906e6dfcc51cfc255b7.jpg,https://www.latino.ch/events/silverster-party-im-breitsch-2025-12-31-breitsch-3014-bern,Breitsch,3014 Bern,Region Bern,latino.ch,K|S,
2025-12-31,21:00,SALSA. BACHATA. KIZOMBA.,https://www2.salsa.ch/images/m/1e/1e53e4087902308856bc251317b5e5b6deee017202751da085acc287bef4b88f.jpg,https://www.latino.ch/events/salsa-bachata-kizomba-2025-12-31-stadt-cafe-solothurn,STADT CAFÉ,Solothurn,Region Solothurn & Aarau,latino.ch,B|K|S,party
2025-12-31,21:00,SALSAMOODS SILVESTER PARTY,https://www2.salsa.ch/images/m/ac/ac2bfc58e5a409d77abc8d74439f6a2dad94eb776f05dbe6ea76e43d45a99041.jpg,https://www.latino.ch/events/salsamoods-silvester-party-2025-12-31-club-el-social-im-viadukt-10-8005-zuerich,Club el Social im Viadukt 10,8005 Zürich,Region Zürich,latino.ch,S,
2025-12-31,22:00,Bailando - New Year Eve Party 2026,https://www2.salsa.ch/images/m/0c/0c717e0383e76bbdf8d22cf39d641820f5d957715a0f18fcbde0b515ecb02825.jpg,https://www.latino.ch/events/bailando-new-year-eve-party-2026-2025-12-31-badenerstr-816-8048-zuerich-switzerland-8048-zuerich,"Badenerstr. 816, 8048 Zürich, Switzerland",8048 Zürich,Region Zürich,latino.ch,B|K|S,
2025-12-31,22:00,Muévete Silvesterparty,https://www2.salsa.ch/images/m/7a/7a5530c4652c440d44ad7eb4ce546037f17f646960ec0923de3653afeb713f13.jpg,https://www.latino.ch/events/muevete-silvesterparty-2025-12-31-sternensaal-buempliz-3018-bern,Sternensaal Bümpliz,3018 Bern,Region Bern,latino.ch,S,party
2025-12-31,22:00,✯ BIGGEST SALSA & BACHATA FEVER NEW YEAR’S EVE 2025 -26 TANZWERK 101 ✯ MI 31. DEZ. 2025,https://www2.salsa.ch/images/m/91/91a7f16f37a929f42fe6fadbb456f78368f4ce7c5bb5c9fd5e796e634d564c49.jpg,https://www.latino.ch/events/biggest-salsa-and-bachata-fever-new-years-eve-2025-26-tanzwerk-101-mi-31-dez-2025-2025-12-31-tanzwerk-101-8005-zurich,TANZWERK 101,"8005 , Zürich",Region Zürich,latino.ch,B|K|S|Z,
2025-12-31,22:30,Silvester Latin Night mit DJ PEPE,https://www2.salsa.ch/images/m/49/499cf1c2387ad3d609cfff35ac38e771b7ba53d764f1a561dcbec94b4c957788.jpg,https://www.latino.ch/events/silvester-latin-night-mit-dj-pepe-2025-12-31-cucaracha-basel-4051-basel,Cucaracha Basel,4051 Basel,Region Basel,latino.ch,,
2026-01-01,20:00,► MI SALSA ◄ Do 01. Januar 2026 DJs Manuel & Giovanni 2 Dance Floors BANANENREIFEREI,https://www2.salsa.ch/images/m/aa/aac42f4a324153e00dc11819823af3c3f200516b5d46ee2fe8b971ccc9008392.jpg,https://www.latino.ch/events/mi-salsa-do-01-januar-2026-djs-manuel-and-giovanni-2-dance-floors-bananenreiferei-2026-01-01-bananenreiferei-zurich-switzerland,Bananenreiferei,"Zürich, Switzerland",Region Zürich,latino.ch,B|S,
2026-01-01,20:30,La Bola - White Party,https://www2.salsa.ch/images/m/b4/b480b004ae93181c79115ad8509b2cf240aa8b53d6bb71ad1e72b7f22fbb49b0.jpg,https://www.latino.ch/events/la-bola-white-party-2026-01-01-tanz-tanzbar-zofingen-4800-zofingen,"""TANZ"" TanzBar Zofingen",4800 Zofingen,Region Solothurn & Aarau,latino.ch,B|K|S,
2026-01-01,21:00,ENCANTO,https://www2.salsa.ch/images/m/09/0918f2551939bfa3a74a292df3b8459c4bd679ced2e08a324ebc322219fce3d9.jpg,https://www.latino.ch/events/encanto-2026-01-01-bungalow-2503-biel-strich-bienne,BUNGALOW,2503 Biel/Bienne,Region Bern,latino.ch,B|K|S,
2026-01-01,21:00,Gratis SALSA & BACHATA Party mit DJ Theo @ Schüür LUZERN (Welcome 2026),https://www2.salsa.ch/images/m/68/689722fd73df9fe33635678c01cbfaaaaa53e4e5b522b9d8813ae2c9a1a2daa1.jpg,https://www.latino.ch/events/gratis-salsa-und-bachata-party-mit-dj-theo-um-schueuer-luzern-welcome-2026-2026-01-01-schueuer-luzern-luzern-lu,Schüür Luzern,Luzern LU,Zentral Schweiz,latino.ch,B|S,party
2026-01-01,21:00,SBK (Salsa bachata Kizomba) im Kulturbistro,https://www2.salsa.ch/images/m/96/96701e2faee43eedc602e1a1e87aa5186556e49e5ab02d31917fc0e5244fbaf7.jpg,https://www.latino.ch/events/sbk-salsa-bachata-kizomba-im-kulturbistro-2026-01-01-kulturbistro-karl-schenk-bern-switzerland,KulturBistro - Karl Schenk,"Bern, Switzerland",Region Bern,latino.ch,B|K|S,party
2026-01-02,15:00,Spezial Workshops in Luzern,https://www2.salsa.ch/images/m/96/96a39a3475bee051765baa4905e90a5c137aca9e893a3fd4e2dc75ce817bab32.jpg,https://www.latino.ch/events/spezial-workshops-in-luzern-2026-01-02-salsa-y-mas-tanzstudio-6010-kriens,Salsa y mas Tanzstudio,6010 Kriens,Zentral Schweiz,latino.ch,S,kurs
2026-01-02,16:00,FIESTA LATINA,https://www2.salsa.ch/images/m/a9/a98ec4e2f2a2e9ca1bd7705833eca5ca6533780a921f0c2d38776ed4b4b64eed.jpg,https://www.latino.ch/events/fiesta-latina-2026-01-02-scuntrada-7078-vaz-slash-obervaz,SCUNTRADA,7078 Vaz/ Obervaz,Ost Schweiz,latino.ch,,party|urlaub
